verdict,statement_originator,statement,statement_date,statement_source,factchecker,factcheck_date,factcheck_analysis_link
mostly-true,Rob Portman,"""I was filibustered.""",7/11/2013,news,Stephen Koff,7/29/2013,https://www.politifact.com/factchecks/2013/jul/29/rob-portman/sen-rob-portman-ohio-says-he-was-once-filibustered/
pants-fire,Roy Blunt,"""I'm 59. In either Canada or Great Britain, if I broke my hip, I couldn’t get it replaced.""",8/12/2009,blog,Louis Jacobson,8/19/2009,https://www.politifact.com/factchecks/2009/aug/19/roy-blunt/59-gop-congressman-says-he-couldnt-get-hip/
false,Viral image,It’s safer to be unvaccinated than vaccinated against COVID-19.,8/2/2021,social_media,Tom Kertscher,8/4/2021,https://www.politifact.com/factchecks/2021/aug/04/viral-image/covid-19-its-safer-be-unvaccinated-several-ways-s-/
half-true,Jeff Sessions,"Says President Barack Obama ""has allowed, each year he's been here, the prosecutions of gun cases (for background check failures) to go down. ... They've declined every year since President Bush left office.""",4/14/2013,television,Louis Jacobson,4/16/2013,https://www.politifact.com/factchecks/2013/apr/16/jeff-sessions/jeff-sessions-says-gun-prosecutions-have-declined-/
mostly-true,Tucker Carlson,"""There are more immigrants in our country right now than any other time.""",2/8/2018,social_media,Miriam Valverde,2/13/2018,https://www.politifact.com/factchecks/2018/feb/13/tucker-carlson/tucker-carlsons-claims-more-immigrants-now-united-/
half-true,John Boccieri,"""Mr. Renacci was registered as a foreign trade lobbyist in the United States government.""",10/18/2010,speech,Stephen Koff,11/1/2010,https://www.politifact.com/factchecks/2010/nov/01/john-boccieri/rep-john-boccieri-portrays-challenger-jim-renacci-/
pants-fire,Ben Carson,"Says ""Joseph Stalin said if you want to bring America down you, have to undermine three things: our spiritual life, our patriotism and our morality.""",2/13/2016,television,Lauren Carroll,2/14/2016,https://www.politifact.com/factchecks/2016/feb/14/ben-carson/ben-carson-flubs-stalin-quote-about-bringing-down-/
pants-fire,Tom Letson,"Says Gov. John Kasich implied that a portion of workers’ compensation rebates to employers ""should be directed back to him in the form of campaign cash.""",5/16/2013,email,Henry J. Gomez,6/7/2013,https://www.politifact.com/factchecks/2013/jun/07/tom-letson/state-rep-tom-letson-suggests-ohio-gov-john-kasich/
false,Joe Manchin,"Says Patrick Morrisey undertook ""efforts to put educators in jail.""",9/14/2018,social_media,Kristen Mohammadi,10/11/2018,https://www.politifact.com/factchecks/2018/oct/11/joe-manchin/did-patrick-morrisey-make-efforts-put-educators-ja/
mostly-true,Bob Donovan,"In 2011, Milwaukee Public Schools ""will provide 77 cents in employee benefits for every dollar it spends on wages.""",9/29/2010,news,Tom Kertscher,11/10/2010,https://www.politifact.com/factchecks/2010/nov/10/bob-donovan/alderman-says-milwaukee-public-schools-spends-77-c/
mostly-false,Mitch McConnell,Says Matt Bevin has repeatedly failed to pay his taxes.,8/5/2013,campaign,Jon Greenberg,8/14/2013,https://www.politifact.com/factchecks/2013/aug/14/mitch-mcconnell/mitch-mcconnell-tags-kentucky-primary-opponent-tax/
pants-fire,Donald Trump,"Amazon has a ""no-tax monopoly.""",7/24/2017,social_media,John Kruzel,7/26/2017,https://www.politifact.com/factchecks/2017/jul/26/donald-trump/amazon-no-tax-monopoly-donald-trump-said/
false,Viral image,"A Big Boy restaurant sign said Donald Trump ""was right"" when he ""predicted if Biden was elected, you'd see $5, $6 and $7 gas.""",6/14/2022,social_media,Bill McCarthy,6/15/2022,https://www.politifact.com/factchecks/2022/jun/16/viral-image/image-anti-biden-billboard-about-gas-prices-was-di/
mostly-true,Josh Hawley,"Says ""Claire McCaskill receives the second-most contributions from insurance companies in the entire Senate.""",9/19/2018,social_media,Louis Jacobson,9/21/2018,https://www.politifact.com/factchecks/2018/sep/21/josh-hawley/fact-checking-josh-hawley-video-highlights-insurer/
half-true,Donald Trump,"The New York Police Department used to have ""surveillance going on in and around mosques in New York City. ... Our mayor totally cut that out.""",11/16/2015,news,Clayton Youngman,11/20/2015,https://www.politifact.com/factchecks/2015/nov/20/donald-trump/trump-says-nypd-used-spy-mosques/
true,Joe Manchin,"""West Virginia Department of Education reported over 10,000 children and youth have been identified as homeless for the 2018-2019 school year.""",9/9/2019,social_media,Alayna Degenhardt,10/11/2019,https://www.politifact.com/factchecks/2019/oct/11/joe-manchin/how-many-west-virginia-students-are-homeless/
true,Brad Schimel,"""More people now die in Wisconsin from drug overdoses than car crashes.""",6/6/2016,news,Cara Lombardo,7/8/2016,https://www.politifact.com/factchecks/2016/jul/08/brad-schimel/do-more-people-die-wisconsin-overdoses-car-crashes/
false,Matt Gaetz,"""The price of insulin increases as waistlines increase.""",3/31/2022,social_media,Colleen DeGuzman,4/21/2022,https://www.politifact.com/factchecks/2022/apr/21/matt-gaetz/gaetzs-diagnosis-whats-driving-insulin-costs-misse/
half-true,Rainbow/PUSH Coalition,"In Georgia, ""hard-earned lottery dollars are doled out to the scion[s] of wealthy families.""",10/28/2011,news,Willoughby Mariano,11/9/2011,https://www.politifact.com/factchecks/2011/nov/09/rainbowpush-coalition/rainbowpush-wealthy-students-get-hope-scholarship/
mostly-true,Menominee Indian Tribe of Wisconsin,"""The Kenosha casino would be one of the state’s largest employers and pay more to the state than any other company or Tribe – essentially, it would be Wisconsin’s biggest taxpayer.""",9/10/2013,blog,Dave Umhoefer,9/11/2013,https://www.politifact.com/factchecks/2013/sep/11/menominee-indian-tribe-wisconsin/menominee-tribe-says-kenosha-casino-would-be-one-w/
mostly-false,Priorities USA Action,Says Romney had the uniforms for the 2002 Winter Olympic games made in Burma.,7/25/2012,social_media,Jon Greenberg,7/27/2012,https://www.politifact.com/factchecks/2012/jul/27/priorities-usa-action/ad-says-mitt-romney-had-olympic-uniforms-made-burm/
false,Joe Biden,"""The Second Amendment, from the day it was passed, limited the type of people who could own a gun and what type of weapon you could own.""",6/23/2021,other,Jon Greenberg,6/25/2021,https://www.politifact.com/factchecks/2021/jun/25/joe-biden/joe-biden-gets-history-wrong-second-amendment-limi/
pants-fire,Bloggers,"""Obama’s lawyers officially admit birth certificate is fake.""",4/20/2012,social_media,Ciara O'Rourke,1/28/2020,https://www.politifact.com/factchecks/2020/jan/28/blog-posting/no-barack-obamas-lawyers-didnt-admit-his-birth-cer/
half-true,Joe Biden,"""Our economy created over 6.5 million new jobs just last year, more jobs in one year than ever before in the history of the United States of America.""",3/1/2022,speech,Louis Jacobson,3/1/2022,https://www.politifact.com/factchecks/2022/mar/02/joe-biden/fact-checking-joe-biden-scale-job-gains-2021/
false,Marjorie Taylor Greene,"Says an image shows the Highland Park shooting suspect ""in jail or rehab or a psychiatric center"" before the shooting.",7/5/2022,social_media,Bill McCarthy,7/5/2022,https://www.politifact.com/factchecks/2022/jul/05/marjorie-taylor-greene/marjorie-taylor-greene-shared-edited-image-highlan/
true,Focus on the Family Action,"""As a state senator, he (Obama) even refused to support a measure to stop sex businesses from opening near schools or places of worship!""",3/26/2008,news,Robert Farley,4/23/2008,https://www.politifact.com/factchecks/2008/apr/23/focus-family-action/he-wanted-local-officials-to-decide/
mostly-true,Barack Obama,"Mitt Romney is proposing a tax plan ""that would give millionaires another tax break and raises taxes on middle class families by up to $2,000 a year.""",8/1/2012,advertisement,Molly Moorhead,8/3/2012,https://www.politifact.com/factchecks/2012/aug/03/barack-obama/obama-romney-would-cut-millionaires-taxes/
true,Alan Hays,"""I did not vote to spend money to fight that (Amendment 6 redistricting) lawsuit.""",7/13/2011,testimony,Amy Sherman,7/20/2011,https://www.politifact.com/factchecks/2011/jul/20/alan-hays/hays-said-he-didnt-vote-spend-money-amendment-6-la/
half-true,Barack Obama,"John Boehner wants to reopen a tax loophole ""that actually rewarded corporations for shipping jobs and profits overseas.""",9/6/2010,speech,Angie Drobnic Holan,9/13/2010,https://www.politifact.com/factchecks/2010/sep/13/barack-obama/obama-said-boehner-opposes-tax-rule-keep-profits-a/
false,Ken Paxton,"Dan Branch ""once lobbied for the AFL-CIO.""",5/11/2014,news,W. Gardner Selby,5/15/2014,https://www.politifact.com/factchecks/2014/may/15/ken-paxton/dan-branch-registered-lobby-ohio-union-not-afl-cio/
true,Melissa Johnson,"Georgia has the 9th highest rate of adults, ages 18 to 64, without a high school diploma or GED.",8/6/2015,news,Nancy Badertscher,9/2/2015,https://www.politifact.com/factchecks/2015/sep/02/melissa-johnson/report-accurate-about-georgias-low-diploma-rate/
mostly-false,Teresa Fedor,"""Toledo … is fourth in the nation behind much bigger cities — Miami, Las Vegas, Portland — in number of human trafficking arrests and rescues.""",12/1/2010,speech,Aaron Marshall,12/14/2010,https://www.politifact.com/factchecks/2010/dec/14/teresa-fedor/state-sen-teresa-foder-laments-seriousness-human-t/
mostly-false,Facebook posts,"Says Joe Biden said, ""You know, we have to come together. That’s why I’m running. I’m running as a proud Democrat for the Senate. So vote! Vote!""",10/12/2020,social_media,Bill McCarthy,10/14/2020,https://www.politifact.com/factchecks/2020/oct/14/facebook-posts/facebook-video-edits-joe-bidens-comments-running-s/
mostly-false,Barack Obama,"John McCain worries about nuclear waste in Arizona, but not in Nevada.",8/9/2008,advertisement,Angie Drobnic Holan,8/13/2008,https://www.politifact.com/factchecks/2008/aug/13/barack-obama/mccain-thinks-yucca-site-will-be-more-secure/
true,Rick Santorum,"Says Mitt Romney said he does not ""line up with the NRA.""",2/23/2012,advertisement,Molly Moorhead,2/29/2012,https://www.politifact.com/factchecks/2012/feb/29/rick-santorum/rick-santorum-ad-quotes-mitt-romney-distancing-him/
false,Bernie Sanders,"""We spend almost twice as much per capita on health care as do the people of any other country.""",8/16/2015,news,Will Cabaniss,8/16/2015,https://www.politifact.com/factchecks/2015/aug/16/bernie-sanders/bernie-sanders-repeats-flawed-claim-about-us-healt/
pants-fire,YouTube videos,"""Ashli Babbitt Tried To Stop Antifa False Flag On Jan 6th""",1/19/2022,social_media,Bill McCarthy,1/21/2022,https://www.politifact.com/factchecks/2022/jan/21/youtube-videos/ashli-babbitt-vs-antifa-video-falsely-claims-babbi/
false,World Food Program,"""Food waste is the 3rd largest contributor"" of greenhouse gas emissions.",2/5/2017,social_media,Jon Greenberg,2/14/2017,https://www.politifact.com/factchecks/2017/feb/14/world-food-program/no-food-waste-not-third-biggest-source-greenhouse-/
true,Marco Rubio,"""Our economy actually shrank during the last three months of 2012.""",2/12/2013,speech,Louis Jacobson,2/12/2013,https://www.politifact.com/factchecks/2013/feb/13/marco-rubio/marco-rubio-says-us-economy-shrank-last-quarter-20/
pants-fire,Facebook posts,"""Since 2000, the Department of Defense and the Department of Energy have been spraying the entire United States sky with the toxic brew of chemicals and other biologic agents.""",1/27/2022,blog,Monique Curet,2/2/2022,https://www.politifact.com/factchecks/2022/feb/02/facebook-posts/claim-us-government-spraying-toxic-brew-chemicals-/
pants-fire,Bloggers,"""NASA will pay you $18,000 to stay in bed and smoke weed for 70 straight days.""",1/2/2017,blog,Joshua Gillin,5/24/2017,https://www.politifact.com/factchecks/2017/may/24/blog-posting/persistent-story-about-nasa-paying-people-18000-li/
mostly-true,Arne Duncan,"""One generation ago we led the world in college graduation. We're 16th today.""",1/12/2012,speech,Tom Feran,1/20/2012,https://www.politifact.com/factchecks/2012/jan/20/arne-duncan/arne-duncan-says-us-has-dropped-no-1-no-16-world-c/
mostly-false,Sean Duffy,"Says President Barack Obama’s homeland security budget had ""$16 million to fight climate change"" but ""didn't have a line item to fight violent extremism.""",12/9/2015,news,Tom Kertscher,12/18/2015,https://www.politifact.com/factchecks/2015/dec/18/sean-duffy/barack-obama-gives-homeland-security-millions-clim/
mostly-false,TJ Donovan,"""Most of the requests for records possessed by the Attorney General’s Office are from private law firms and companies.""",10/18/2019,news,Xander Landen,10/22/2019,https://www.politifact.com/factchecks/2019/oct/22/tj-donovan/vermonts-ag-misses-mark-claim-most-records-request/
mostly-false,Bill Janis,"""The New START treaty was passed despite significant concerns among some people in the State and Defense Departments.""",1/25/2011,speech,Jacob Geiger,2/2/2011,https://www.politifact.com/factchecks/2011/feb/02/bill-janis/bill-janis-says-new-start-treaty-was-passed-despit/
mostly-false,Brett Hulsey,"Says opponent Mary Burke told reporters she would have ""required workers to give up bargained-for healthcare and retirement benefits like Gov. Walker.""",5/21/2014,statement,Dave Umhoefer,5/29/2014,https://www.politifact.com/factchecks/2014/may/29/brett-hulsey/brett-hulsey-says-mary-burke-would-have-required-s/
pants-fire,Barry Hinckley,"Sheldon Whitehouse voted for a ""$525-billion tax increase on the middle class.""",10/24/2012,advertisement,C. Eugene Emery Jr.,11/1/2012,https://www.politifact.com/factchecks/2012/nov/01/barry-hinckley/us-senate-candidate-barry-hinckley-says-incumbent-/
false,Rick Scott,"""Today, you can't rely on (the retirement fund for public employees), it's not funded.""",3/6/2012,news,Katie Sanders,3/7/2012,https://www.politifact.com/factchecks/2012/mar/07/rick-scott/rick-scott-says-state-pension-fund-not-funded/
false,Charlie Sykes,"""The number of Americans who receive means-tested government benefits -- welfare -- now outnumbers those who are year-round full-time workers.""",10/25/2013,television,Jon Greenberg,10/30/2013,https://www.politifact.com/factchecks/2013/oct/30/charlie-sykes/charlie-sykes-says-today-there-are-more-people-wel/
pants-fire,Rick Scott,"""The stimulus has not created one private sector job.""",9/3/2010,news,Becky Bowers,9/17/2010,https://www.politifact.com/factchecks/2010/sep/17/rick-scott/rick-scott-says-stimulus-create-single-private-job/
false,David Perdue,"""More businesses went out of business last year than were started for the first time in our history.""",6/2/2016,news,Jon Greenberg,6/3/2016,https://www.politifact.com/factchecks/2016/jun/03/david-perdue/sen-perdue-uses-bad-history-business-birthdeath-tr/
half-true,Barack Obama,"""As governor, in the face of partisan attacks, (Charlie Crist) had the courage to save jobs and lead his state into economic recovery.""",6/20/2016,statement,Joshua Gillin,6/23/2016,https://www.politifact.com/factchecks/2016/jun/23/barack-obama/charlie-crist-led-florida-economic-recovery-stimul/
mostly-false,David Cicilline,"""Most military experts say there is anywhere between 25 and 30 members of al Qaeda in Afghanistan.""",5/6/2011,radio,Richard Salit,5/15/2011,https://www.politifact.com/factchecks/2011/may/15/david-cicilline/cicilline-says-there-are-only-25-30-al-qaeda-fight/
mostly-true,Sarah Palin,"""Americans now spend 100 days out of the year working for government before we even start working for ourselves.""",4/14/2010,speech,Louis Jacobson,4/16/2010,https://www.politifact.com/factchecks/2010/apr/16/sarah-palin/palin-says-americans-spend-100-days-paying-their-t/
pants-fire,Bloggers,"""Mitt Romney: ‘Trump has some very serious emotional problems, he must resign before we…’""",6/6/2018,blog,Bill McCarthy,6/8/2018,https://www.politifact.com/factchecks/2018/jun/08/blog-posting/hoax-story-wrongly-credits-mitt-romney-bernie-sand/
mostly-false,Mary Burke,"""Scott Walker raises nearly 70 percent of his money from out of state""",12/13/2013,news,Dave Umhoefer,12/22/2013,https://www.politifact.com/factchecks/2013/dec/22/mary-burke/mary-burke-says-70-percent-money-contributed-scott/
false,New Day for America,"""Many just call him 'Lyin' Ted.' ... His TV ad about John Kasich? Lie! Stations had to pull it off the air.""",3/31/2016,advertisement,C. Eugene Emery Jr.,4/6/2016,https://www.politifact.com/factchecks/2016/apr/06/new-day-america/john-kasichs-super-pac-slams-ted-cruz-tv-ad-cruzs-/
mostly-false,Rick Scott,"""At my first ‘Let’s Get to Work Day’ … we sold out;"" more than 240 dozen doughnuts by 8:30 a.m.",1/10/2012,speech,Aaron Sharockman,1/10/2012,https://www.politifact.com/factchecks/2012/jan/10/rick-scott/rick-scott-talks-doughnuts-2012-state-state-addres/
half-true,Barack Obama,Says he passed a bill to stop a military requirement that wounded soldiers pay for meals and phone calls.,1/15/2008,speech,Bill Adair,1/16/2008,https://www.politifact.com/factchecks/2008/jan/16/barack-obama/his-bill-was-more-narrow/
true,Mike Gallagher,"""New data shows in-person learning isn't driving spikes in cases.""",12/7/2020,social_media,Eric Litke,12/18/2020,https://www.politifact.com/factchecks/2020/dec/18/mike-gallagher/data-shows-person-learning-safer-expected-not-driv/
half-true,Raymond Gallison,"""Seventy-four percent of Rhode Islanders support [a] national popular vote [for president] because they, as I, believe in one person-one vote.""",6/13/2013,speech,C. Eugene Emery Jr.,6/30/2013,https://www.politifact.com/factchecks/2013/jun/30/raymond-gallison/ri-rep-raymond-gallison-says-74-percent-rhode-isla/
false,David Simas,"Job growth in the United States is now at the ""fastest pace in this country's history.""",3/18/2015,news,Louis Jacobson,3/24/2015,https://www.politifact.com/factchecks/2015/mar/24/david-simas/white-house-aide-says-job-growth-now-fastest-pace-/
false,Mike Pence,"The voting bill known as H.R. 1 ""would force states to adopt universal mail-in ballots.""",3/3/2021,news,Louis Jacobson,3/4/2021,https://www.politifact.com/factchecks/2021/mar/04/mike-pence/mike-pence-wrong-hr-1-forces-states-shift-universa/
false,Donald Trump,"""58,000 non-citizens voted in Texas, with 95,000 non-citizens registered to vote.""",1/27/2019,social_media,Amy Sherman,1/28/2019,https://www.politifact.com/factchecks/2019/jan/28/donald-trump/trump-wrongly-tweets-58000-noncitizens-voted-texas/
false,Allen Boyd,"""Steve Southerland did not pay his taxes in '05, '06, '07, '08 or '09.""",9/27/2010,advertisement,Robert Farley,10/11/2010,https://www.politifact.com/factchecks/2010/oct/11/allen-boyd/allen-boyd-campaign-ad-claims-steve-southerland-di/
mostly-false,Debbie Wasserman Schultz,"Says Gov. Rick Scott ""cut nearly $1 million from mosquito control and closed down the state’s mosquito research lab a few years ago.""",8/8/2016,speech,Amy Sherman,8/9/2016,https://www.politifact.com/factchecks/2016/aug/09/debbie-wasserman-schultz/debbie-wasserman-schultz-misleads-attack-rick-scot/
true,Patrick Murphy,"""Marco Rubio made it clear: Not only does he think Donald Trump is a con man, he went on to say he doesn't trust Donald Trump with the nuclear codes.""",10/17/2016,speech,Allison Graves,10/18/2016,https://www.politifact.com/factchecks/2016/oct/18/patrick-murphy/patrick-murphy-right-about-marco-rubio-attacks-don/
false,J.D. Vance,"""Joe Biden uses the ATF to illegally track your gun transactions.""",2/7/2022,advertisement,Jon Greenberg,2/10/2022,https://www.politifact.com/factchecks/2022/feb/10/jd-vance/jd-vance-wrongly-says-atf-illegally-tracking-gun-s/
mostly-false,Saxby Chambliss,"With Obamacare, ""we're fixing to get hit with the biggest entitlement program the American taxpayers have ever seen.""",9/25/2013,television,Louis Jacobson,9/27/2013,https://www.politifact.com/factchecks/2013/sep/27/saxby-chambliss/saxby-chambliss-says-obamacare-biggest-entitlement/
pants-fire,Viral image,"Says a photo shows ""a Trump rally in downtown Philly yesterday.""",12/12/2019,social_media,Ciara O'Rourke,1/6/2020,https://www.politifact.com/factchecks/2020/jan/06/viral-image/photo-live-aid-not-trump-rally-philadelphia/
mostly-true,Kendrick Meek,"""The first time he ever voted as a Democrat was here in Florida in 2008. He only voted four times in his life, and he's asking Floridians to come out and vote for him.""",6/22/2010,speech,Amy Sherman,6/29/2010,https://www.politifact.com/factchecks/2010/jun/29/kendrick-meek/meek-says-greene-only-voted-four-times/
half-true,Patrick Murphy,"Says Marco Rubio ""opposes immigration reform. Worse, Rubio supports Donald Trump. His plan would deport 800,000 children, destroying families.""",10/10/2016,advertisement,Amy Sherman,10/17/2016,https://www.politifact.com/factchecks/2016/oct/17/patrick-murphy/patrick-murphy-attacks-marco-rubios-record-immigra/
half-true,Chris Dorworth,"Says Florida is one of a few or perhaps the only state ""that has a statewide review of local land use and zoning decisions.""",4/21/2011,speech,Aaron Sharockman,4/29/2011,https://www.politifact.com/factchecks/2011/apr/29/chris-dorworth/comparing-floridas-growth-management-laws-others-a/
mostly-false,Thomas Garrett Jr.,"""Last year the (Medicaid Fraud Control Unit) in Virginia alone recovered over $200 million!""",4/2/2014,news,Sean Gorman,5/11/2014,https://www.politifact.com/factchecks/2014/may/12/thomas-garrett-jr/sen-tom-garrett-says-medicaid-fraud-unit-virginia-/
half-true,Carly Fiorina,"""There are only four countries in the world that ... legalize abortion after five months -- China, North Korea, Canada and the U.S.""",8/18/2013,news,Julie Kliegman,8/22/2013,https://www.politifact.com/factchecks/2013/aug/22/carly-fiorina/only-four-countries-legalize-abortion-after-5-mont/
false,Charles Van Zant,"""Abortionists have reduced our black population by more than 25 percent since 1973.""",4/18/2013,speech,Katie Sanders,4/25/2013,https://www.politifact.com/factchecks/2013/apr/25/charles-van-zant/florida-republican-says-without-kkk-or-holocaust-a/
false,Paul Krugman,"A recent report from the president's deficit commission was ""completely empty"" on controlling health care costs.",11/14/2010,other,Angie Drobnic Holan,11/16/2010,https://www.politifact.com/factchecks/2010/nov/16/paul-krugman/paul-krugman-said-obamas-deficit-co-chairs-had-no-/
half-true,H204TEXAS PAC,"Proposition 2 on November’s Texas ballot ""does not cost state taxpayers any money.""",10/24/2011,email,W. Gardner Selby,11/3/2011,https://www.politifact.com/factchecks/2011/nov/03/H204TEXAS-PAC/Group-says-proposed-constitutional-amendment-costs/
mostly-true,Rick Scott,"""Most"" of the newspapers that endorsed Alex Sink also endorsed Barack Obama.",10/25/2010,speech,Angie Drobnic Holan,10/28/2010,https://www.politifact.com/factchecks/2010/oct/28/rick-scott/rick-scott-says-most-newspapers-endorsed-sink-also/
false,Viral image,"Photo shows Laurel Hubbard ""winning the women's weight lifting competition"" at the Olympics.",7/31/2021,social_media,Ciara O'Rourke,8/6/2021,https://www.politifact.com/factchecks/2021/aug/06/viral-image/old-photo-shows-laurel-hubbard-winning-gold-not-ol/
mostly-false,Secure America Now,"""For his first interview as president, Barack Obama chose Arab TV for an apology.""",7/4/2012,advertisement,Molly Moorhead,7/12/2012,https://www.politifact.com/factchecks/2012/jul/12/secure-america-now/ad-says-obama-apologized-showed-weakness-iran/
false,Viral image,"Says Samuel L. Jackson said, ""Maybe if we underpaid these modern mumble rappers and overpaid teachers there would be smarter people in the future and less s----- music.""",3/21/2019,social_media,Ciara O'Rourke,3/27/2019,https://www.politifact.com/factchecks/2019/mar/27/viral-image/no-samuel-l-jackson-didnt-say-about-teachers-and-m/
mostly-false,Republican Governors Association,"""(Mary) Burke was a senior member of the Doyle administration that left Wisconsin with 130,000 fewer jobs.""",2/13/2014,campaign,Dave Umhoefer,3/5/2014,https://www.politifact.com/factchecks/2014/mar/05/republican-governors-association/republican-group-ties-wisconsin-job-loss-mary-burk/
pants-fire,Boyd Richie,"Says Gov. Rick Perry is ""spending Texans’ hard-earned money to live like Louie XIV.""",5/20/2010,email,W. Gardner Selby,5/25/2010,https://www.politifact.com/factchecks/2010/may/26/boyd-richie/la-bonne-vie-democratic-chairman-says-perry-living/
mostly-true,Joseph Andriole,"The Central Falls fire department is ""one of the lowest, if not the lowest, paid fire departments in the state and entire region.""",8/2/2011,news,Lynn Arditi,8/28/2011,https://www.politifact.com/factchecks/2011/aug/28/joseph-andriole/union-leader-says-central-falls-firefighters-are-a/
false,Chet Edwards,"Says opponent Bill Flores helped run a company that laid off over 3,000 workers and paid off executives with millions.",9/6/2010,advertisement,W. Gardner Selby,9/15/2010,https://www.politifact.com/factchecks/2010/sep/15/chet-edwards/chet-edwards-says-republican-challenger-bill-flore/
mostly-true,Peter Beinart,"""If you look at the states where soccer is most popular, they're overwhelmingly blue states, and the states where soccer is least popular are red states.""",7/6/2014,television,Derek Tsang,7/10/2014,https://www.politifact.com/factchecks/2014/jul/10/peter-beinart/soccer-blue-state-game/
mostly-true,Our Oregon,"Says ""while state leaders have cut funding for our schools and other basic priorities, the amount of money the state is projected to give away through tax breaks increased by a whopping $3.4 billion.""",6/20/2012,statement,Ian K. Kullgren,7/6/2012,https://www.politifact.com/factchecks/2012/jul/06/our-oregon/has-state-left-tax-giveaways-grow-while-cutting-sc/
mostly-true,Marco Rubio,"Administrative employees at colleges and universities have ""more than doubled over the last 25 years, outpacing the growth of students by more than 2 to 1.""",1/12/2015,other,Louis Jacobson,1/12/2015,https://www.politifact.com/factchecks/2015/jan/12/marco-rubio/marco-rubio-says-college-administrators-have-more-/
false,Bishop Thomas Tobin,"""Any legislative action that is taken now could very well be rendered completely null and void by the decision of the Supreme Court expected this June.""",3/27/2013,news,C. Eugene Emery Jr.,4/3/2013,https://www.politifact.com/factchecks/2013/apr/03/thomas-tobin/rhode-island-catholic-bishop-tobin-says-us-supreme/
mostly-true,Kamala Harris,"""In 99 percent of counties in America, someone making the minimum wage working full time can’t afford a 1-bedroom apartment.""",7/19/2018,social_media,Lucia Geng,7/25/2018,https://www.politifact.com/factchecks/2018/jul/25/kamala-harris/housing-unaffordable-full-time-minimum-wage-worker/
mostly-false,Donald Trump,"""The National Debt in my first month went down by $12 billion.""",2/25/2017,social_media,Aaron Sharockman,2/25/2017,https://www.politifact.com/factchecks/2017/feb/25/donald-trump/why-donald-trumps-tweet-about-decline-national-deb/
mostly-false,Lee Holloway,Says he got twice as much money from the sale of County Grounds land than Milwaukee County Executive Scott Walker was willing to accept.,11/17/2010,news,James B. Nelson,12/3/2010,https://www.politifact.com/factchecks/2010/dec/03/lee-holloway/lee-holloway-says-he-got-more-twice-much-money-cou/
true,John Kelly,"""Many of the countries in question (in Trump’s travel ban) don't even have a U.S. embassy there to help us vet.""",5/28/2017,news,Miriam Valverde,5/31/2017,https://www.politifact.com/factchecks/2017/may/31/john-kelly/are-there-us-embassies-countries-listed-trumps-tra/
false,Donald Trump,"""We've achieved a historic increase in defense spending to get our troops the support they so richly deserve.""",7/25/2017,speech,Jon Greenberg,7/27/2017,https://www.politifact.com/factchecks/2017/jul/27/donald-trump/its-false-trump-achieved-historic-increase-defense/
pants-fire,Donald Trump,"""We won Georgia easily. We won it by hundreds of thousands of votes.""",1/2/2021,other,Miriam Valverde,1/4/2021,https://www.politifact.com/factchecks/2021/jan/04/donald-trump/donald-trump-falsely-claims-georgia-victory-record/
false,Tim Kaine,"George Allen cast ""the deciding vote"" for the 2003 Bush tax cuts.",12/7/2011,speech,Sean Gorman,12/17/2011,https://www.politifact.com/factchecks/2011/dec/17/tim-kaine/tim-kaine-says-george-allen-cast-deciding-vote-200/
true,Russell McMurry,"Georgia is on track for 1,200 traffic fatalities this year, a reversal of nine years of declines.",5/11/2015,news,April Hunt,5/20/2015,https://www.politifact.com/factchecks/2015/may/20/russell-mcmurry/already-deadly-georgia-roads/
half-true,Dan Branch,"""Worked with Ronald Reagan and helped re-elect him.""",2/4/2014,advertisement,W. Gardner Selby,2/21/2014,https://www.politifact.com/factchecks/2014/feb/21/dan-branch/dan-branch-worked-pro-reagan-texas-committee-thoug/
pants-fire,Peter Roskam,"Says Sean Casten supports ""doubling premiums"" and ""cutting current health care plans.""",7/1/2018,advertisement,Kiannah Sepeda-Miller,8/12/2018,https://www.politifact.com/factchecks/2018/aug/12/peter-roskam/roskam-makes-absurd-claims-about-democratic-challe/
mostly-true,TikTok posts,"""Central Park actually used to be a town called Seneca Village"" founded by African Americans in 1825.",6/5/2020,social_media,Hannah Roesch,8/12/2020,https://www.politifact.com/factchecks/2020/aug/12/tiktok-posts/was-central-park-once-town-called-seneca-village/
mostly-true,Michael Moore,"During the Reagan era, ""the richest Americans had their top income tax rate cut in half.""",10/2/2009,news,Robert Farley,10/6/2009,https://www.politifact.com/factchecks/2009/oct/06/michael-moore/michael-moore-claims-during-reagan-years-richest-h/
false,Facebook posts,"""Clarence Thomas’s wife was one of the organizers of Jan 6th""",1/9/2022,social_media,Jeff Cercone,1/11/2022,https://www.politifact.com/factchecks/2022/jan/11/facebook-posts/theres-no-evidence-ginni-thomas-organized-jan-6-ev/
half-true,Rudy Giuliani,"""Bill Clinton cut the military drastically.""",1/5/2008,speech,Bill Adair,1/5/2008,https://www.politifact.com/factchecks/2008/jan/05/rudy-giuliani/he-ignores-bipartisan-support-for-defense-cuts/
